NAME;URL;DATE;ABI;GRAMMAR_JSON;EXTERNAL_SCANNER;DOWNLOAD
doxygen;https://github.com/tree-sitter-grammars/tree-sitter-doxygen;2024-06-09;14;true;true;false
dtd;https://github.com/tree-sitter-grammars/tree-sitter-xml;2025-06-03;14;true;true;false
earthfile;https://github.com/glehmann/tree-sitter-earthfile;2025-05-02;14;true;true;false
ebnf;https://github.com/RubixDev/ebnf;2023-02-06;14;true;false;false
editorconfig;https://github.com/ValdezFOmar/tree-sitter-editorconfig;2025-07-13;15;true;true;false
eds;https://github.com/uyha/tree-sitter-eds;2024-10-14;14;true;false;false
eex;https://github.com/connorlay/tree-sitter-eex;2022-01-12;13;true;false;false
elisp;https://github.com/tpeacock19/tree-sitter-elisp;2022-10-10;13;true;false;false
elisp;https://github.com/Wilfred/tree-sitter-elisp;2024-06-18;14;true;false;false
elixir;https://github.com/elixir-lang/tree-sitter-elixir;2025-04-23;14;true;true;false
elm;https://github.com/elm-tooling/tree-sitter-elm;2025-05-04;15;true;true;false
elsa;https://github.com/glapa-grossklag/tree-sitter-elsa;2023-02-21;14;true;false;false
elvish;https://github.com/elves/tree-sitter-elvish;2023-07-17;14;true;false;false
embedded_template;https://github.com/tree-sitter/tree-sitter-embedded-template;2025-01-25;14;true;false;false
enforce;https://github.com/simonvic/tree-sitter-enforce;2025-07-17;15;true;false;false
erlang;https://github.com/the-mikedavis/tree-sitter-erlang;2025-02-05;14;true;false;false
erlang;https://github.com/WhatsApp/tree-sitter-erlang;2025-06-13;14;true;true;false
eventrule;https://github.com/3p3r/tree-sitter-eventrule;2025-06-06;-;false;false;false
facility;https://github.com/FacilityApi/tree-sitter-facility;2025-01-14;14;true;false;false
faust;https://github.com/khiner/tree-sitter-faust;2025-06-30;15;true;false;false
fennel;https://github.com/sogaiu/tree-sitter-fennel;2022-02-19;13;true;false;false
fennel;https://github.com/TravonteD/tree-sitter-fennel;2024-02-02;14;true;false;false
